aksara_latin,arti
abbacang,bacaan
abbacangngè,bacaan
abbatirenna,bekasnya
abbicara-bicarangeng,percakapan
abinasangngè,kebinasaan
abu,abu
accuanna,polanya
acennorenna,kenyaringannya
ada,kata
ada-adaè,kata-kata
adaè,kata
adanna,perkataanya
adatta',perkataan anda
addampeng,maaf
addidi,lidi
ade',adat
ade' pituè,dewan adat yang terdiri dari 7 orang
ade'ta,adat kita
aga,apa
agagaè,barang kita
agaganna,barangnya
agama,agama
agana,apakah
agatu,apa
aggurung,pelajaran
aggurungèdè,pembelajaran
aggurungèwè,pembelajaran
aggurungngè,pembelajaran
aisah,aisyah (nama orang)
aja',jangan
ajaretta,yang diajarkan
aja'to,jangan juga
ajattappareng,ajattappareng (nama tempat di pare-pare)
ajoppangetta',perjalanan hidup
akatuwongengngè,kehidupan
akatuwo-tuwongengngè,kehidupan
akessingeng,kebaikan
akessingenna,kebaikannya
akkalèbarakeng,dijadikan ibarat
akkalenna,akalnya
akkalèruddukeng,perbandingan
akkalibinèngengngè,berkeluarga
akkanrè-anrèna,tancapannya
akkarungeng,kerajaan
akkarungengè,kerajaan
akkarungenna,kerajaannya
akkataè,tujuan
akkatenningeng,pegangan
akkatta,tujuan
akkattana,tujuannya
akkatuonna,kehidupannya
akkatuwongè,kehidupan
akkatuwonna,dalam kehidupannya
akkèbettuangi,yang berarti
akkègunana,kegunaannya
akkègunangenna,kegunaannya
akkuasangenna,kekuasaannya
akorang,al-qur'an
ala,ambil
alaihi,alaihi
alaikum,alaikum
alè,diri
alè-alè,sendiri
alèku’,diriku
alempuko,jujurlah
alempureng,kejujuran
alempurengè,kejujuran
alèna,dirinya
alèta’,diri anda
alèwè,diri kita
ali,ali (nama orang)
alisi'mu,alismu
alitta,alitta (nama desa di pinrang)
alla,jua
allahu,allahu
alliri,tiang
amaccangenna,kepintarannya
amanna,ayahnya
amasagènangenge,kesuksesan
amaurènami,hanya keponakannya
ambo’ku’,bapakku
ambo’na,bapaknya
amina,amina (nama orang)
ammao,dalam
ammasi,siapa tahu
ampalajèngngekga,semak berlukar
ampè,sikap
ampulajeng,semak (nama tumbuhan)
amurènami,hanya pamannya
ana’,anak
ana’na,anaknya
ana'sikolaè,anak sekolah
andi,andi (gelar bangsawan untuk suku bugis)
anging,angin
angke',nilai
angke'-angke',nilai-nilai
angke'-angke'na,nilai-nilainya
angke'na,nilainya
anu,sesuatu
anurena,keponakannya
anyarang,kuda
apa',sebab
apaccingeng,kesucian
apaissengnge,diperkenalkan
api,api
appang,bahwa
apparèntangenna,pemerintahannya
appong,asal
appongenna,asal usul
ara',arab
araja,kekuasaan
arè’,hal
arua,delapan
arumponè,raja bone
arung,raja
arungna,rajanya
aruwa,delapan
asalamakengè,keselamatan
asè,padi
asellengengè,keislaman
aseng,nama
asenna,namanya
asèssangeng,kesulitan
asèwèritu,padi itu
asitolottolongenna,saling tolong-menolong
assalamu,assalamu
assalenna,asal usulnya
assilaingenna,perbedaannya
assilèo-lèoretta,kehidupan kita
assimellereng,berkasih-kasihan
assimellèrengta,cinta kita
assisompungenna,hubungannya
assiwolompolongngè,hidup berkeluarga
ataè,bawahan
atepperenna,kepercayaannya
ati,hati
atikku’,hati saya
atimmu,hatimu
atinna,hatinya
atinrono,tidurlah
atongengngè,kebenaran
atoreng,aturan
atoro',atur
attenning,pegang
atu,susun
atu'atu',susunan
atu-atuna,strukturnya
atukennana,kegunaannya
atuna,aturannya
atuong,kehidupan
atuongèng,hidup
atuongenna,kehidupannya
atuonna,hidupnya
atuwotta,hidup kita
awa,bawah
awaraningengngè,keberanian
awatangeng,kekuatan
awatangenna,kekuatannya
awatangennami,kekuatannyalah
ba,ba
babuamu,perutmu
baca,membaca
baca-baca,mantra
baca-bacaè,mantra itu
bacai,bacalah
baco,baco (sapaan untuk anak laki-laki bugis)
bagenda,baginda
baiccuè,yang kecil
bajoè,bajo
bakare',bakar (nama jalan di pare-pare)
balana’,belanak (ikan laut)
balandaè,belanda itu
balesena,bekalnya sudah habis
balessè,tempat yang terbuat dari daun lontara atau daun palem untuk menyimpan sesuatu
bali,jawab
bali',di balik
balini,jawablah
baliwi,jawablah
baliwi,lawanlah
balo,warna
balu’,menjual
balu’ku,jualan saya
balu'-balu'ku,daganganku
bampa,pukul
banna,dalam
bantuang,bantuan
bara',agar
barakka’,berkah
barakka’mu,berkahmu
barakkuammengngi,agar
barisi’,baris
barisi'na,barisnya
baru,baru
basa,bahasa
basana,bahasanya
baso,baso (nama orang)
bata',jagung
batèna,caranya
batèta,cara kita
batu,batu
bau',bau
bawang,hanya
bawangenna,bawaannya
bawanna,saja
bèbè,air liur
bedda’,bedak
beddu,beddu (nama orang)
bèla,kata sapaan pada teman yang akrab
bèlo,hias
bènnèng,andai
bentu’,bentuk
berru,barru
bètè,ikan teri (nama jenis ikan)
bettuang,makna
bettuanna,maknanya
bettuwanna,maknanya
bèu,beu (nama orang)
biasamutoai,biasa juga
biasani,dia sudah biasa
bicara,bicara
bicaraè,perkataan
bidadari,bidadari
bili’,kamar
biritta,berita
bokong,ketupat
bola,rumah
bolaèro,rumah itu
bolana,rumahnya
bolata’,rumah kita
bolong,hitam
bonè,bone (nama kabupaten di sulawesi selatan)
bosi,hujan
bottimparuè,pengantin baru
botting,pengantin
bottingngè,pengantin itu
buana,buahnya
budayawang,budayawan
buka,buka
buki',bukit
bulu’,gunung
bunga,kembang
bunge’,awal
bunge’è,yang awal
bunge’i,dia yang awal
bunge'na,awalnya
ca,ca
ca'bèruna,senyumnya
cahaya,cahaya
cahayamu,cahayamu
caiya,cahaya
cakkaruddu',mengantuk
campa',penyakit campak
cani’,madu
cani'i,madu itu
cappa’,ujung
cara,cara
caraddè’na,cakapnya
carana,caranya
carata,cara kita
carita,cerita
caritaè,cerita itu
caritai,ceritakan
cèddè'ka,saya hampir
cèkoè,kecurangan
cemmèko,mandilah
cenning,manis
cenningngè,yang manis
cenningrara,mantra pekasih
cèra',bukan bangsawan penuh
cinna,ingin
coco’ni,sudah cocok
colliq,colliq (nama salah satu pejuang wanita asal sulawesi selatan)
daèng,daeng
daèra,daerah
dara,gadis
dare’,kebun
datu’,datuk
daung,daun
dè',tidak
dè’è,tidak
dè’pa,belum
dè’tu,bukan
dècèkku,kebaikanku
dècèng,kebaikan
degaga,tidak ada
dèkga,tidak
dè'mèmengtonna,tidak memang
dèna’,tidak
dè'namarigaga,tidak apa-apa
dè'napa,belum
denniari,pada dini hari
dèpè,dp
deraja'na,derajatnya
dèsaè,desa
diuki’,ditulis
doang,doa
dokoè,sakit itu
dokoni,sakit
dua,dua
duaè,dua itu
duakkaju,dua ekor
duambatu,dua buah
duppa,bertemu
duta,melamar
èbbu’i,buatlah
èbbu’ki,buatlah
ègaè,banyak
èganna,berjumlah
èja,merah
èjaè,dia
ella-ella,menyerang musuh
èllau,minta
èlong,lagu
èlongngè,lagu
èlongngèro,lagu itu
èlonna,lagunya
engka,ada
engkaè,yang ada
engkaga,apakah ada
engkai,dia ada
èngkalingani,dengarlah
engkana,sudah ada
engkato,ada juga
enneng,enam
ennengngè,yang keenam
ènrèkki',naiklah
enrengè,dan
enrengètoppa,dan juga
eppa’,empat
eppa’i,berempat
èppa'è,empat
eppona,cucunya
èro,itu
èsakko,menyingkir
essoè,hari itu
esso-esso,sehari-hari
essona,harinya
èwangeppa,perjuangan
gaba,gabah
galung,sawah
gambèrè',gambir
garè,konon
gau’,pesta
giling,balik
go,go
golla,gula
golo’,bola
gowa,gowa (nama tempat dan nama kerajaan di sulawesi selatan)
guruè,guru itu
gurutta,guru kita
ha,ha
haddèse'è,hadist
hajji,haji
hamudding,hamuddin (nama orang)
harang,haram
harusupi,harus
hasang,hasan (nama orang)
hasanudding,hasanuddin (nama orang)
homonimeng,homonim
hurupu’,huruf
hurupu’na,hurufnya
husain,husain (nama orang)
i,i
ia,dia
iaggurui,dipelajari
iagguruini,dipelajarilah
iagguruiwi,dipelajari
iakkia,melainkan
ianaè,inilah
ianaritu,yaitu
ianaro,itulah
ianu,dia
iarègga,atau
ibaca,dibaca
ibacaè,yang dibaca
iberahim,ibrahim (nama sultan)
iderise,idris (nama orang)
idi’,anda
idi’na,anda saja
idikga,apakah anda
idinaga,apakah sudah gilirannya
iga,siapa
iko,kamu
ilaleng,di dalam
ilatini,dilatilah
illalla,illallah
inang,induk
inanrè,nasi
indah,indah
india,india
indo',ibu
indokku’,ibu saya
indonesiaè,indonesia itu
ininnawa,hati
ininnawaè,hati itu
ipakatajanngi,dijelaskan
ipalettu'è,yang disampaikan
ipannessai,diperjelas
irisseng,diketahui
irita,dilihat
ise’na,isinya
itanga',ditinjau
itani,lihatlah
iya’,saya
iyami,hanya ini
iyanaritu,yaitu
iyanu,dia
iyato,dia juga
iyya,yang
iyyaè,ini
iyyaro,itu
jaji,jadi
jakka,sisir
jala,jala
jamai,kerjakan
jama-jamanna,kerjaannya
jamang,kerjaan
jamangngengi,yang mengerjakan
jamanna,kerjaannya
jamatta’,kerjaan kita
janci,janji
janga’,burung merpati
jawaè,jawa
jèkkangngè,jalan
jènnè’,wudhu
joa’,pasukan
joa’na,pasukannya
jokka,jalan
joppa,jalan
joppani,dia sudah salah
jumelana,jumlahnya
ka,ka
kaddokbari,kuat makan
kaduanna,dua kalinya
kajajiang,kejadian
kajao,kajao
kakak,kakak
kallolo,anak muda
kallonna,kallona (raja gowa kesembilan)
kaloloè,anak muda
kaluku,kelapa
kamasè,kasihan
kaminang,paling
kampong,kampung
kampongngè,kampung itu
kantoro',kantor
karaèng,karaeng
karaketerisetina,karakteristiknya
karèba,kabar
karèbaè,kabar
karella,warna kuning keemasan (untuk bulu hewan)
karellaè,warna kuning keemasan (untuk bulu hewan)
katoro,teratur
kecamatang,kecamatan
kèdo,gerak
kedua,kedua
kègana,yang mana
kègani,dimana
kèloè,pengecut
kelurahang,keluarahan
kessi',pasir
kessinna,baiknya
keterangang,keterangan
kkita,lihat
kondae,nahkoda
kuabbekkeng,saya lilitkan di pinggang
kuaccaya,saya bercahaya
kuakkalèpu,saya menyatu
kuanrè,saya makan
kuattèkkè,saya membeku
kulariang,saya membawa lari
kulolang,saya berjalan
kulolongeng,saya mendapatkan
kumalolo,saya jadi muda
kumpayakun,kun fayakun
kuning,kuning
kupaseng,saya memberi pesan
kupelè,bait
kuripancaji,saya diciptakan
kuripasia,saya diusik
kusampèang,saya dibuang
kusanrègi,saya dituntun
kusèro,saya timba
kutantang,saya menantang
kutiroki',saya melihatmu
kuttu,pemalas
kuttuè,kemalasan
kuwaè,mustahil
kuwaènna,seperti
kuwaètoppa,begitu pula
la,la
laailaaha,laailaaha
labaco,baco (nama orang)
labeddu,beddu (nama orang)
labèla,sudah
ladde’i,sangat
lagu,lagu
lagu–laguna,lafal
laguna,lafalnya
laingnge,yang lain
lakallolo,anak muda
lakkai,suami
lakkelakkei,uraikan
lalè,sayang
laleng,dalam
lalengngè,jalan itu
lalenna,di dalamnya
lalo,lewat
lalomi,biasa
lamala,mala (nama orang)
lambogo,lambogo (nama jalan di pare-pare)
lampa',lembar
lampèri,panjangkan
lampuè,lampu itu
lamuru,lamuru
langi',langit
lao,ke
lao,pergi
laoè,kepergian
lao-lao,cara
laona,caranya
lapangangngè,lapangan itu
lapappura,yang hanya
lappa,rata
lappaè,kata-kata
lappa-lappa,patahan-patahan
lariangngi,membawa lari
larini,berlari
larudding,rudding (nama orang)
lasanu',sanu (nama orang)
lato'na,kakeknya
lawi’,tawar
lebbini,sudah lebih
lèccè,suku
lèmbamparang,lembang parang
lempu'è,kejujuran
lènggok-lènggoksai,goyang-goyangkanlah
lennye'ni,sudah hilang
lennye'toni,sudah hilang juga
lèppang,singgah
lètanan,letnan
lettu’,sampai
lèu,berbaring
lèweno,berkali-kali
lima,lima
lima,tangan
limaè,yang kelima
lino,dunia
linoè,dunia ini
lipa',sarung
lipa’na,sarungnya
lipunna,daerah
lise',isi
lise’na,isinya
liweng,ke seberang
lolang,berjalan
lolanno,berjalanlah
lolo,muda
lolongeng,mendapatkan
lolongengngi,mendapatkan
lontara,lontara
lontara’è,lontara
lontara'èro,lontara itu
lopi,perahu
loppo,besar
loroseng,bagian
lumu’,lumut
lurenna,penumpangnya
ma,ma
mabacaè,yang membaca
mabbaca,membaca
mabbaju,memakai baju
mabbanua,berpenduduk
mabbedda’,menggunakan bedak
mabbellè,berbohong
mabbenniwi,dia bermalam
mabbiasa,sudah biasa
mabbicara,berbicara
mabèla,jauh
mabèlapi,dari jauh
mabittè,berlaga untuk ayam
maccani,sudah pandai
maccayamupi,tetap bercahaya
maccemmè,memandikan
maddiaseki,lebih diatas
maddua,mendua
madduta,melamar
madècèkku,kebaikanku
madècèmmua',saya baik-baik saja
madècèng,baik
madècèngngè,yang baik
madècèngngi,dia baik
madècènni,lebih baik
madennuang,mengharapkan
madennuangngi,mengharapkan
madiasèkiwi,posisinya lebih di atas
madioloè,sebelumnya
madoko,sakit
maèga,banyak
maègaè,yang banyak
maèlo,mau
maèlo’i,dia mau
maèlo'è,yang akan
maèloki,dia mau
maèlokka,saya mau
maèlo'ni,sudah ingin
magatti',cepatlah
magattikki',lebih cepat
magello,baik
maggalummi,hanya bertani
maggalung,bertani
maggolo’,main bola
magguru,belajar
maggurui,dia belajar
magi,kenapa
mahemude,mahmud (nama orang)
mai,kemari
maittani,sudah lama
maja’,tidak baik
maja'tu,tidak baik
majjakka,menyisir
majjama,bekerja
makaaruwa,kedelapan
makassara’,kasar
makebèttuangi,yang berarti
makecci,rasanya kecut
makessing,bagus
makkadua,yang kedua
makkaenneng,yang keenam
makkaeppa',yang keempat
makkakkuangngè,yang sekarang
makkalè,sendiri
makkalimaè,yang kelima
makkalu',melilit
makkanrè,terhujam
makkapitu,yang ketujuh
makkasèddi,yang pertama
makkaseppulosèddi,yang kesebelas
makkasèra,yang kesembilan
makkatellu,yang ketiga
makkatenni,memegang
makkatta,sengaja
makkawaru,berharap
makkèade'è,yang beradab
makkèbbu',membuat
makkedatoi,berkata juga
makkedatoppa,berkata juga
makkedda,berkata
makkeddaè,yang mengatakan bahwa
makkeddai,dia berkata
makkeddato,berkata juga
makkesingnge,yang bagus
makkita,melihat
makkitaè,yang melihat
makkui,begitu
makkuiro,demikian
makkukkuangngè,sekarang
makkukkuè,sekarang
makkulau,makkulau
makkuli,keras
makkuniro,maka demikianlah
makkunrai,perempuan
makkunraiè,kaum wanita
makkunrainna,perempuannya
makkutana,bertanya
makkutopparo,begitu pula
makurang,kurang
mala,mengambil
malagi,khususnya
malai,mengambil
malaju,melayu
malampè',panjang
malasa,sakit
malebbi,berharga
malebbiè,yang lebih
maleggemua,kuat
malempu',jujur
malingkaang,malingkaan (salah satu raja gowa)
mallapi’,berlapiskan
mallelu,lupa
mallila,berlidah
mallimpo,berbaik pula
mallinrung,gaib
mallinrungna,gaibnya
mallomo,mallomo (nama orang)
mallupai,melupakan
malluru,maju
maloloè,muda
maloppo,besar
maloppoè,yang besar
mammuarè’i,semoga
mammuja,memuja
mammula,pertama
mammulangngè,yang awal
mamperui,menerpanya
mana’i,turunan
mancaji,menjadi
mancajini,maka menjadi
maneng,semua
manengna,semuanya
manengngi,semua
manengni,semuanya
manessani,sudah jelas
mangatu',mengatur
mangkasa',makassar
mangkasa’è,makassar itu
mangkau,raja
mangkau'è,raja itu
mangngolo,menghadap
mangngurusu,mengurus
manguntungi,manguntungi (raja gowa kesembilan)
mani,kata sandang untuk menandakan selalu
manipi’,tipis
mannasui,dia memasak
mannennungeng,sepanjang waktu
mannessa,jelas
manrè,makan
manrèi,dia makan
manu’,ayam
manurung,manurung
maompèngngè,kendor
maponco',pendek
maponco’mi,pendek saja
mappadaoranè,bersaudara (laki-laki)
mappahang,memahami
mappahangngi,memahami
mappaissengngènge,memperkenalkan
mappajungngè,mappajunge
mappakalebbiè,yang menghargai
mappakatuna,merendahkan
mappakè,menggunakan
mappakèwè,yang menggunakan
mappangajako,memberi nasihat
mappannessa,menjelaskan
mappanrasa-rasa,membuat sengsara
mappanyuki,mappanyuki (nama orang)
mappaseng,berpesan
mappasengngi,dia berpesan
mappassili,menyucikan
mappassukku,menyempurnakan
mappauwang,memberitahukan
mappèjeppu,memperjelas
mappèssau,melegakan
mappuji,menyukai
mappunnai,memiliki
mappunnaiè,yang mempunyai
maraja,besar
marè',sangat erat
marèllau,memohon
mareppè'è,yang terdekat
marilaleng,yang lebih dalam
marioloè,yang dahulu
marippe’i,secara singkat
marrèngngkalinga,mendengarkan
marruki',menulis
marruki'i,menuliskan
masala,masalah
masalamu,masalah kamu
masalana,masalahnya
masantang,bersantan
masaraka’,masyarakat
masè-masè,kesederhanaan
masempo,murah
masèna,bantuannya
maseppuloè eppa',yang keempat belas
maseppuloè tellu,yang ketiga belas
masero,sangat
masidu,pahit
masiwawang,bersama
masola-sola,yang gagah
masola-solaè,yang gagah
massailè,menoleh
masseddipa,menyatu
masselomoè,yang lentur
massessung,berlomba-lomba
massilessurengngi,dia bersaudara
massipa',bersifat
massobbu,sembunyi
massobbu-sobbu,secara sembunyi-sembunyi
massula',bersegi
massumpe'i,macet
massuroka',saya menyuruh
massusung,menyusun
mata,mata
matai,mata
matajangngi,sudah terang
matana,matanya
matanrè,tinggi
matasa,matang
matasa'na,murninya
matè,meninggal
matèaritu,tidak boleh
matèna,meninggalnya
matinro,tidur
matinroe,yang tidur
matoa,tua
mattarana,mengasuh anak
mattellu,yang ketiga
mattentu,menentu
mattola,mattola
matu’,nanti
mau’,biarpun
mau’ni,biarpun
maumpe’,tebal
maupe',beruntung
mau'toni,bagaimanapun
mèbbu’,kamu membuat
mèdia,media
mejjeppu,menjelaskan
mekka,mekkah
melle',kasih
melleriwi,menyukai
mèlo'mo,kamu mau
mèlong,melantunkan
mèmeng,memang
mèmengna,memangnya
mèmengnga,memang
mèmènni,sebelumnya
mèmmana',melahirkan
mènrè’,naik
mèompalo,kucing belang tiga
meraiki',mengajak
mètèrè',meter
mètta,sudah lama
mètte',berbicara
mettonni,benar-benar
mèwai,dia melawan
miccu,ludah
minasa,niat
minasaè,niat kita
minungngi,dia minum
missengngi,diketahui
mitai,melihat
mitu,itu
modala,modal
modèlè,model
molli’i,memanggilnya
moloi,menghadapi
mompo',muncul
mondong,mondong (nama orang)
monro,tinggal
monroi,dia tinggal
monroku',saat saya tinggal
motoro'mi,hanya motor
motoro'na,motornya
mpa,mpa
mua',mau
mucapa'i,meremehkan
muèlong,kamu menyanyikan
muhamma,muhammad
muinappa,kemudian
muissengi,ketahui bahwa
mujoppa,berjalan
muki’i,menuliskan
mulai,pada mulanya
mumaccaya,kamu bercahaya
mumadècèng,kamu baik
mumadoko,kamu sakit
mumagetteng,kamu tegas
mumalèwe,berulang
munrinna,dibelakangnya
muonro,kamu tinggal
mupasilowangngi,ikut sertakan
mupi,tetap
mupogau',yang kamu lakukan
muppalinrung,kamu sembunyikan
musallèangngi,kamu hempaskan
musaro,kamu untung
mussalame,mussalam
mutaro,gara-gara kamu
mutèa,kamu tidak mau
mutellu,kamu bertiga
muttama’i,dia masuk
muttamana,saat masuknya
muttamanana,saat masuknya
mutudang,kamu duduk
na,dan
na,na
na'ala,dia mengambil
nabaca,dia membaca
nabacai,dia membacanya
nabacatoi,dia membaca juga
nabalu’,dia menjual
nabi,nabi
nabitta’,nabi kita
naboli,boli
naburane,laki-laki
nacalingeki,dia menyimak
naccuèri,dia mengikuti
nacèccè,dia membenci
nacèccèni,dia sudah tidak suka
naddarari,yang hendak dicapai
naèkkia,namun
naèllaui,dia meminta
naèlong,dia melantunkan
naèlongekki,yang dia nyanyikan
naèlongngi,dia melantunkan
naèwa,dia lawan
naga,naga
nageppai,dia ditimpa
nageppatoi,dia ditimpa juga
nagilingmua,dia berbalik
naia,yang
naiakkia,namun
naidik,dan kami
naikkia,tetapi
nainappa,kemudian
naissengngi,dia mengetahui
naiyya,ialah
najama,yang dia dikerjakan
najeppui,dia mengetahui
najeppuiwi,dia memahami
nakkamalakeng,dia amalkan
nakkègunang,yang digunakan
nakko,jika
