aksara_latin,arti
nalamua’,dia masih menangkap saya
nalao,dia pergi
nalaona,dia pergi
nalara',di renggangkan
nalara'si,dia renggangkan lagi
nalèpè'i,dia menjilat
nalètèi,dia menitinya
nalluru,dia kembali
nalolongeng,dia dapatkan
namacenning,dia manis
namaèlo,dia mau
namancaji,dia menjadi
namapace',dan tepat
namau'toni,walaupun
namelleriè,yang dia suka
namulao,dan dia pergi
nanasu,dia memasak
naoki'i,dia menulis
naola,dia lewat
napahang,dia paham
napahangngi,dia memahami
napajajingeki,dia memohon
napakatajangi,dia menjelaskan
napakatajangngi,dia menjelaskan
napakatajanni,dia menjelaskan
napakè,dia menggunakan
napakkègunai,dia mempergunakan
napakkèloriè,yang dia inginkan
napalettukeng,dia sampaikan
napalomoiki',dia memudahkan
napannessai,dia perjelas
napapolè,dia memperoleh
naparelluangè,yang dia perlukan
naparelluangi,dia memerlukan
naparelluangngi,dia memerlukan
naparèntaè,yang dia perintah
napasengiè,yang dipesan
napasèssa,dia menyiksa
napèdèk,semakin
napèjeppui,dia memahamkan
naperelluwangi,dia memerlukan
napinra,dia mengubah
napoada,yang dia ucapkan
napoada-adai,yang dia ucapkan berulang-ulang
napoada-adatonni,dia ucapkan juga
napobua,yang dia lakukan
napoji,dia sukai
napolakkai,dia persuamikan
napolè,dia datang
nappa,kemudian
napperelluwangè,yang dia butuhkan
nappunnaiè,dia miliki
napuji,dia menyukainya
napujiè,dia sukai
naputeppe,yang dia percaya
narampè,dia tuturkan
narèkko,jika
nariakka'toi,dia diangkat pula
nariala,diambil
nariassalengi,asal usulnya
naribettuangi,diartikan
narijajiang,dilahirkan
narimakuannanaro,oleh karena itu
naripahang,dipaham
naripattentu,ditentukan
naripitennai,difitnah
naripuji,disukai
naritambai,ditambahkan
naritèmpona,pada waktu
naritiwi',dibawa
nariwèrènna,dia diberi
narompa-rompai,dia menghalangi
narupai,dia mengenal
nasaba’,sebab
nasala,dia salah
nasanrègak,dia menuntunku
naseng,dia katakan
nasi,nasi
nasibawa'i,dia bersama
nassabari,penyebab
nasuro,dia menyuruh
natabbalè',terbalik
natampu’è,yang terkandung
nataneng,dia tanam
natappi,dia selipkan di pinggang
nataro,disebabkan
natemmaka,sangat
naterri,dia menangis
natiwi',dibawa
natubuku,dan tubuhku
natuju,yang menjadi tujuan
natulianggao,jangan sampai tersenggol
naturusi,yang dia andalkan
nauki',dia tulis
nauki’i,ditulisnya
naullè,dapat
naullei,dia dapat
nawa-nawa,perasaan
nawedding,agar dia dapat
nca,nca
nènè',nenek
nènè'na,neneknya
nennalao,kita pergi
nennia,tetapi
ngka,ngka
nigaro,siapakah itu
nippi,mimpi
nippimu,mimpimu
niro,sudah
nirullè,bisa
no',turun
nomoro’,nomor
nra,nra
nyameng,kenyamanan
nyawaku,nyawaku
nyonri,nyonri (salah satu raja gowa)
o,wahai
oketobere',oktober
olo,depan
onronna,tempatnya
oroanè,laki-laki
orowanè,laki-laki
osong,syair pembangkit semangat
otakku,otakku
oto,mobil
pa,pa
pabbalu’,penjual
pabbanuaè,penduduk
pabbanuwaè,penduduk itu
pabbiasaè,yang biasa
pabbicaraè,juru bicara
paccemmèna,yang memandikan
pada,sama
padai,dia sama
padamu,padamu
padang,padang
padani,dia sama dengan
padato,sama juga dengan
padatoha,sama juga dengan
padatoi,sama juga dengan
paddai,imbuhan
paddare’,petani (untuk kebun atau ladang)
paddeppa,pecahkan
paddissengeng,ilmu
paddoangeng,doa
pa'gangkanna,batasnya
paggalung,petani (untuk sawah)
pahang,paham
pahangi,pahamlah
paimeng,juga
painukko,minumlah
pajanengi,simaklah
pajanessa,kejelasan
pajjala,penangkap ikan
pakacappurengngè,yang terakhir
pakamasè,belas kasih
pakatajangngi,jelaskanlah
pakè,pakai
pakèatta,pakaian kita
pakèwè,memakai
pakkanna,pasukan perang
pakkannaè,pahlawan
pakkannana,tokohnya
pakkannessa,penjelas
pakkeddang,ungkapan
pakkeddangè,ungkapan itu
pakkèguna,gunakan
pakkègunaè,yang menggunakan
pakkègunai,gunakanlah
pakkita,penglihatan
pakkullèng,kemampuan
pakkutana,pertanyaan
pakkutanaè,pertanyaan itu
palèlèi,pindahkan
palesapana,falsafah
palettukengngi,sampaikanlah
pallak,pallak
pallureng,yang memuat
pamarèntata,pemerintah kita
pamattè',pamattè' (nama seorang syahbandar pada masa raja Gowa yang bergelar Tumapakrisik Kalonna)
pammasareng,dikubur
pammasè,rahmat
pammasèi,rahmatnya
pammotoro',orang yang naik motor
pammulannami,hanya awalnya
pancaitana,pancaitana (nama seorang ratu di kerajaan Bone)
pancajiè,dijadikan
pancajina,dijadikannya
pangadereng,budaya
pangaja,nasihat
pangajaè,nasihat
pangajana,nasihatnya
pangaruna,pengaruhnya
pangèrru’,pemikat
pangèruna,sugestinya
panghiana’,penghianat
pangisengengngè,pengetahuan
pangujui,mempersiapkan
pannessai,jelaskan
pannessatoi,jelaskan pula
panrè,makan
pappada,mirip
pappadai,mirip dengan
pappahatta’,pemahaman kita
pappakalebbi,penghargaan
pappakatajang,yang menjelaskan
pappakatajanna,penjelasannya
pappangajaè,nasihat
pappangngaja’,petuah/nasehat
pappasa’,pedagang
pappasilaingeng,yang membedakan
pappèppaccing,pembersih
paragera',paragraf
paragerape,paragraf
parajaèngnga,yang merajakan
paramatai,yang permata
pararang,biawak
parattèkanni,praktekanlah
parellu,perlu
parelluè,yang diperlukan
parellui,dia memerlukan
parentana,perintahnya
parè-parè,pare-pare
paria,paria
parronda,penjaga malam
parupparung,paru-paru
pasa’è,pasar itu
pasalai,tinggalkan
paseng,pesan
pasenna,pesannya
pasetta',pesan anda
pasiattai,samakan
passaleng,hal
passalenna,hal yang berkaitan dengan
passèllè’,ganti
passèngerengngèdè,perbuatan yang selalu dikenang
passerring,sapu
pasusai,menyulitkan
patimah,fatimah (nama anak nabi muhammad)
patiroang,pelajaran
pattanra,ciri khas
pattellareng,penamaan/istilah
pattola,generasi
pauang,memberitahukan
paullè,dapat
pauwwangngi,beritahukan
pawang,pawang
peddi’,sakit
pèdè',semakin
pèdè'i,semakin dia
pèjeppui,pahami
pèkkogai,bagaimana
pèkkogana,bagaimana
pèkkogi,bagaimana
pèkkotogi,bagaimana juga
pèlèang,jarikan
pèmèngngi,lain kali
pèngorèbanang,pengorbanan
perèsona,persona
peretama,pertama
pèrrè,geser
petta,petta (gelar bangsawan Bugis)
pettu,putus
pettuni,putuslah
pidio,video
pidiona,videonya
pilosopi,filosofi
pilosopina,filosifinya
pitu,tujuh
pituppulo,tujuh pulu
po,po
poada,menyebut
poada-adaè,menceritakan
poada-adai,ceritakan
poana’,pemilik anak
poana'i,yang melahirkannya
pococoè,yang sesuai
polakkai,bersuamikan
polè,dari
polèanna,penghasilannya/yang dibawa pulang
polèi,dari
polisi,polisi
polisina,polisinya
ponème,fonem
ponèng,fonem
pong,dasar
pong’è,yang dasar
pongawana,bosnya
poronomina,pronomina
posiri’,merasakan malu
puang,tuhan
puce’è,di puncak
puèbokong,belah ketupat
puisi,puisi
puisiè,puisi itu
puisina,puisinya
pujiè,pujie (nama salah satu pejuang wanita asal sulawesi selatan)
pulana,tidak berubah
pulise'i,ambillah
pulo,puluh
punnai,mempunyai
pura,telah
puraè,yang sudah
purana,saya telah
purani,dia telah
puraniro,setelah itu
putanrai,menandakan
putanraièngngi,yang menandakan
putè,putih
putèna,putihnya
putèta,putihnya anda
puwang,puang
ra,ra
radioè,radio itu
raja,raja
rajai,deras
rajang,rajam
rajèng,biasa
rampa,rempah
rampa-rampaè,orang yang tinggi
rampè,biografi
rampè-rampè,biografi
rapangi,contohnya
rapanna,seperti/contohnya
rappang,rappang (nama daerah atau tempat di Sulawesi selatan)
ratu',ratus
raung,daun
rèkko,jika
rennu,gembira
rennuta',suka
ri,di
ri arung,pada raja
ri bonè,di bone
ri bundu'na,pada masa perangnya
ri kantoro,di kantor
ri lalempanuwa,di dalam kampung
ri laleng,di dalam
ri lalenna,di dalamnya
ri lapangangngè,di lapangan
ri matajang,di matajang (nama tempat di Sulawesi Selatan)
ri saliweng,di luar
ri sidenreng,di sidenreng
ri tengnga,di tengah
ri tengngana,di tengahnya
riaggurui,dipelajari
riaggurungngèwè,pada yang dipelajari ini
riakka’,diangkat
riakka'ni,diangkat
riakkarungenna,di kerajaannya
riala,diambil
rialè,individu
rialempurengè,pada kejujuran
rialèna,pada dirinya
riamasèi,dikasihi
rianrè,dimakan
riapparelluang,dibutuhkan
riappasanrèseng,disandarkan
riappatiroanni,dideskripsikan
riase’,di atas
riaseng,disebut
riasengi,yang disebut
riasengmutoi,yang biasa disebut
riasengngè,yang bernama
riassiamasèngngè,kasih sayang
riatammu,kepada bawahanmu
riawa,di bawah
ribaca,dibaca
ribaca-bacaè,pada mantra
ribalandaè,dari belanda
ribalu’,dijual
ribandang,ri bandang
ribasa,di bahasa
ribolèbolèna,pribadinya
ribottingngè,pada pengantin
ricemmè,dimandikan
ricemmèwè,dimandikan
ricempaè,di pohon asam
ridècèngè,ke hal yang baik
ridi',dirimu
riduppa,bertemu
rièbbuè,yang dibuat
rièganna,pada banyaknya
riènnajaiè,yang disayangi
riessoè,pada hari ini
rigau',yang diperbuat
rigenna,seperti
rigiling,dibalik
riisseng,diketahui
rijajiangi,dilahirkan
rilainnaè,yang lain
rilainnaèro,selain itu
rilalloi,dilalui
rilèlèang,bertemu pandang
rilessureng,dilahirkan
rilolongengngi,kedapatan
rimakkeddana,saat berkata
rimatinroè,matinroe
rimelleri,diidolakan
rimelleriè,yang diidolakan
rimula,dari awal
rimunri,di belakang
rio,gembira
riolo,di depan
rioloi,dihadapi
riolona,di depannya
riolota’,di depan kita
riorinna,di periuknya
riota,keceriaan
ripabbettuangngi,diartikan
ripabbicaraè,dengan juru bicara
ripadanna,kepada sesamanya
ripadatta,sesama kita
ripahang,dipahami
ripahangi,kita memahami
ripahanni,dipahami
ripajanengi,dipahami
ripakatajang,diperjelas
ripakè,dipakai
ripakkèguna,digunakan
ripamarètata,di pemerintah kita
ripammulai,dimulai
ripancajiè,dijadikan
ripancajinna,diciptakannya
ripangisengengngè,pada pengetahuan
ripangngaja',pada nasihat
ripanguju,dirias
ripangujuè,yang dirias
ripappolè,diraih
riparennuwangini,diharapkan
ripasa'è,di pasar itu
ripasak,di tengah
ripasicoco’na,disesuaikan
ripassalenna,tentang
ripassirinna,di bawah cucuran atap
ripattola,ke generasi
ripije'si,direkatkan lagi
ripoada,dikatakan
ripoadang,diberitahu
ripogau,dilakukan
rippaissengangi,diperkenalkan
rippe'na,rangkuman
ripuada,dikatakan
ripuadai,dikatakan
ripuji,disuka
ripurana,setelah
ripuwang,dari puang
ripuwangngè,oleh puang
riruntu’,didapat
risappa’,dicari
risèajimmu,pada keluargamu
risèddiè,disatu
risèsèna,disisinya
risobbu,disembunyikan
risseng,dikenal
risuro,disuruh
risuroè,yang disuruh
risusungngi,disusun
ritambaini,ditambah
ritanga'i,ditinjau
ritau,pada orang
ritawai,dibagi
ritella’,yang disebut
ritellaè,yang disebut
ritella'i,disebut
riteppodomu,ketika lambat
ritikkengngi,ditangkap
ritu,itu
rituju,tujuan
ritujunna,dibawah
ritungke',dalam satu
riuki’,ditulis
riuki’na,ditulisnya
riulawengngè,dari emas
riwèrèng,diberi
riwettu,diwaktu
riwettuè,waktu itu
riyangke'i,dinilai
riyasengè,yang disebut
rojong-rojong,sebatang kara
rompègading,rompegading
ronda,ronda
ronna,suruhan
rudding,rudding
rukka,rukka (nama salah satu raja bone)
rumpu',rumput
rupa,macam
rupamu,wajahmu
rupanna,contohnya
rupa-rupanna,jenis-jenis
ruttungnge,yang runtuh
sa,sa
saba’,karena
sabbara',sabar
sabbara'è,kesabaran
saddaè,suara
sade’,sade (nama orang)
sahaba’na,sahabatnya
sahebandare,syahbandar
sai,penyakit
sajang,kecewa
sajinna,sendok nasinya
sakkek-sakkek,bermacam-macam
sala,salah
salai,itu salah
salapahakkatu,kamu salah paham
salasèddi,salah satu
salaseddina,salah satunya
sallallahu,sallallahu
salo,sungai
sampang,sampan
samparaja,dalam
samuteppa,salah sangka
sanro,dukun
sanroè,dukun itu
sanu,sanu
sapana,tangga tanpa anak tangga
sappo’,sepupu
sapposisenna,sepupu sekalinya
saraè,segala sedih
sarèkkuammengngi,semoga
sasetera,sastra
saseteraè,sastra itu
sattuè,sabtu itu
sawè,berkembang
sawitto,sawitto
sebbu,ribu
sèddi,satu
sèddiè,yang satu
sèddina,satunya
selatan,selatan
sèllè,pisah
sellengngè,islam
sèngerengmu,kenanganmu
sèngerengngè,kenangan kita
sènge'tona,saling berkasihan
sengngengmpalinai,putra tunggalnya
seppini,selipkan
seppulo,sepuluh
sèrèna,geraknya
sèrra',burung hantu
serring,menyapu
seturuturena,strukturnya
sèuai,sesuatu
sèuwa,suatu
sèuwa'è,yang satu
sèuwai,sesuatu
si,si
sia,apakah
siaga,berapa
siagai,berapa
siala,saling mengambil
siampi’ampi’,berdekat-dekatan
siarè’,banyak
siarè'-arè',berbagai jenis
siarè'-arè'èdè,yang saling terkait
sibali,berbalasan
sibawa',dengan
sibola,satu rumah
sicampa,memuji
sicapu,mencumbu
sidènrèng,sidenreng
siduppa,bertemu pandang
sijanci,saling berjanji
sikai'-kai',saling terkait
sikkirengi,membawa
sikolaè,sekolah
silabi',silabik
silaingengga,berbeda
silaingengngi,berbeda
silaingenna,selainnya
silappaè,sepatah
silebbai,saling membenci
silèngngega,apakah berbeda
silennyereng,saling hilang
sima',jimat
simallagai,selalu bertengkar
simata,terlihat
singkeru',singkeru' (nama salah satu raja bone)
sininna,setiap
sipa',sifat
sipalèccè,saling merajuk
sipa'na,sifatnya
sipa'-sipa',sifat-sifat
sipa'-sipana,karakter
sipongenna,sejak
sippada,seperti
sippaddio,saling gembira
sirampè,saling mengenang
siri’,malu
sisèllè,bergantian
sisèllèsèllè,saling bergantian
sisèngè',saling kenang
sisompuna,berhubungan
sitaro,saling menyimpan
sitengnga-tengngaè,orang yang bimbang
sitettongeng,saling berdiri
sitinaja,sesuai
sitinajai,sepatutnya
sitinajaki,sudah sepatutnya
sitinro,tidur
sitongenna,hakikat
sitongettongenna,hakikatnya
sitti,sitti
sobbu,sembunyi
soiale',sosial
solangi,merusak
sorè,datang
sorèang,soreang
soro'i,mundur
sorong,dorong
sorongngi,dorong
soro-soroko,mundurlah
suji,ketupat
suku,suku
sukupa,utuh
sulapa',segi
sulawesi,sulawesi
suletan,sultan
sullèi,mengganti
sumatera,sumatera
sunge',umur
suppa,suppa
sure’,huruf
sure’,surat
surowè,bawahan
suruga,surga
ta,ta
taala,taala
tabbalè',terbalik
tabbuka',terbuka
tacciceng,sesekali
taccinaampe'mi,hanya sebentar
taggurui,dipelajari
taissengni,sudah diketahui
taitai,lihatlah
taitani,lihatlah
tajanna,terangnya
tajekko,menunggu
takawing,berjalin
takkatoro’,teratur
talao,kita pergi
talaona,kita pergilah
talapisi,televisi
ta'lima,masing-masing lima
talliwa',berlebihan
tamaèga,banyak
tammalaga,tak pernah berlaga
tampu’,mengandung
tampu’è,yang mengandung
tampu'i,mengandung
tampukuè,yang salah bentuk
tana,tanah
tanaè,tanah itu
tanggala'e,tanggal
tangngarenna,pandangannya
tania,bukan
tanja’,bentuk
tanja'na,bentuknya
tanra,ciri
tanramubba',tak akan muncul
tanrana,cirinya
tanra-tanra,ciri-ciri
tanra-tanrana,ciri-cirinya
tapineddingi,rasakan
tappalimpo,membiakkan
tappallak-pallak,mari kita berkebun
tappana,bentuknya
tappèrrè,tergeser
tappinrai,mengalami perubahan
tarala,terjual
tarèkraung,berdaun rindang
tarenneng,enam
tareppa',empat
taroi,simpanlah
tassèddiè,setiap satu
tassèrè'i,perkirakan
tassibètta,bertarung
tassiduppa,bersua
tassilampa’,satu lembar
tattale',tersebar
tattambai,bertambah
tattaneng,mari menanam
tattellu,masing-masing tiga
tattellunge,masing-masing tiga
tau,orang
tauè,orang itu
taung,tahun
taunna,tahunnya
tawang,bab
tèa,tidak mau
tèaki,dia tidak mau
tèbara'i,ibarat
tebbakè,tak termusnahkan
tèdong,kerbau
tègai,dimana
tègaki’,kamu dimana
tejjali,tanpa tikar
tekku,takkan
tèllolang,pencuri
tellonno,menjenguklah
tellu,tiga
telluè,yang ketiga
tellui,bertiga
temmaka,sangat
temmakkampulajengngè,tidak ada semaknya
temmalupaiyèngngi,tak akan pernah lupa
temmappabinasa,tak membinasakan
temmappakkèguna,tak menggunakan
temmappau,tidak berucap
temmaruttung,tak akan runtuh
temmasola-sola,tidak menuruti hawa nafsunya
temmatè,tak akan mati
temmonroang,tidak tinggal
temmusèngek,tak kau ingat
tèmpè,tempe
tempeddippi,belum bisa
tèmpo,masa
tèmpona,pada zamannya
tenggina,tidak pernah
tengnga,tengah
tenna tola,tidak ditolak
tennaita,yang tidak dilihat
tennakkarungi,tidak dipertuankan
tennungenna,alat tenunnya
tenriakkampaèreng,tidak mengambil
tenriappau,diam
tenribata-batatoi,tidak diragukan
tenripada,tenripada
tenritaè,yang tidak dilihat
tenrullèni,tidak mampu lagi
tentu,tentu
teppada,tidak sama
teppadai,tidak sama
teppajai,tidak berhenti
teppapolè,tidak mendapatkan
teppauno,tak membunuh
teppettu,tak akan terputus
teppolo,tak akan patah
teppu,sebut
teppuna,sebutannya
teppurana,saat selesai
terè',truk
terè'è,truk itu
terri,menangis
tettappèrè,tanpa permadani
tette',tetap
tette',jam
tette'ni,tetap
tettong,berdiri
tinro,tidur
tinrona,tidurnya
tiwiki,bawalah
todongi,menghapus
toha,juga
toi,pula
tojuppandang,dari ujungpandang
tolèba,kesatria
tomaèlo,orang yang mau
tomasallè,orang yang sendiri
tomasèssa,orang yang tersiksa
tomatowa,orang tua
tomatowanna,orang tuanya
tommaccarita,orang yang bercerita
tona,sedangkan
tongeng,benar
tongengngè,kebenaran itu
tongengngi,dia benar
tongenna,aslinya
tongenni,benar-benar
tonge-tongeng,bersungguh-sungguh
toppa,saja
toriolota,orang terdahulu kita
toripaseng,orang yang dikirimkan pesan
toriwèlaimmu,orang yang kau tinggalkan
tosabbara'èdè,orang penyabar
tosibawa,bersama-sama
ttamattamangnge,kesurupan
tu,tu
tua’,tuak
tubu,tubuh
tudang,duduk
tudangenna,kedudukannya
tudanna,posisinya
tuju,menjadikan tujuan
tukennana,kegunaannya
tuli,selalu
tumapa’risi',tumapa’risi' (raja gowa kesembilan)
tumèa,pedang
tumèana,perisainya
tumènanga,tumenanga (salah satu raja gowa)
tungke’,setiap
tuo,hidup
tuoka,aku hidup
tupalè'na,ayo
tuppungngè,tanjakan itu
turioloè,orang terdahulu
turipancaji,diciptakan
tururupaè,mimik wajah
tuwo,tumbuh
uaè,air
uddani,rindu
ugi’,bugis
ugi’è,bugis
ugitta’,bugis kita
uki’,menulis
uki'i,tulislah
ukiki,tulislah
uki'na,tulisannya
uleng,bulan
umacinna,kuingin
umuru',umur
ungkapang,ungkapan
uni,bunyi
uniakkengngi,saya meniatkan
uninna,bunyinya
uonroi,saya tinggali
upaènrè’,saya naikkan
uranè,laki laki
usaha,usaha
uwaè,air
uwala,saya mengambil
wa,wa
waalaikume,waalaikum
wage,wage
wajuè,baju itu
wakkangngè,kandung
wakkattai,yang jadi tujuan saya
wala,saya ambil
wanua,negeri
wanuwa,kampung/negeri
waramparang,harta benda
warèkkada,ungkapan
warènni,saya berikan
wasallama,wasallam
wassèlè’,hasil
watakkalè,diri
wawang,kelompok
wè,we
wedding,bisa
weddingi,bisa
weddingngè,yang bisa
weddinni,sudah bisa
weddittoi,bisa juga
wègani,bergelimpangan
wenni,malam
wenninna,malamnya
wèrèkkada,ungkapan
wèrèkkadaè,ungapan
wettu,waktu
wettuè,waktu itu
wija,keturunan
wijennanaèngngi,padahal kita turunan
wisseng,tahu
yabè,kasih
yolo,depan
yusupu,yusuf
